1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,
1.000000,0.998055,0.996177,0.994428,0.992870,0.991554,0.990526,0.989820,0.989461,0.989461,0.989820,0.990526,0.991554,0.992870,0.994428,0.996177,0.998055,1.000000,
1.000000,0.996177,0.992483,0.989046,0.985982,0.983395,0.981374,0.979987,0.979281,0.979281,0.979987,0.981374,0.983395,0.985982,0.989046,0.992483,0.996177,1.000000,
1.000000,0.994428,0.989046,0.984037,0.979572,0.975802,0.972857,0.970835,0.969807,0.969807,0.970835,0.972857,0.975802,0.979572,0.984037,0.989046,0.994428,1.000000,
1.000000,0.992870,0.985982,0.979572,0.973857,0.969033,0.965263,0.962677,0.961361,0.961361,0.962677,0.965263,0.969033,0.973857,0.979572,0.985982,0.992870,1.000000,
1.000000,0.991554,0.983395,0.975802,0.969033,0.963319,0.958853,0.955789,0.954231,0.954231,0.955789,0.958853,0.963319,0.969033,0.975802,0.983395,0.991554,1.000000,
1.000000,0.990526,0.981374,0.972857,0.965263,0.958853,0.953844,0.950407,0.948659,0.948659,0.950407,0.953844,0.958853,0.965263,0.972857,0.981374,0.990526,1.000000,
1.000000,0.989820,0.979987,0.970835,0.962677,0.955789,0.950407,0.946714,0.944836,0.944836,0.946714,0.950407,0.955789,0.962677,0.970835,0.979987,0.989820,1.000000,
1.000000,0.989461,0.979281,0.969807,0.961361,0.954231,0.948659,0.944836,0.942891,0.942891,0.944836,0.948659,0.954231,0.961361,0.969807,0.979281,0.989461,1.000000,
1.000000,0.989461,0.979281,0.969807,0.961361,0.954231,0.948659,0.944836,0.942891,0.942891,0.944836,0.948659,0.954231,0.961361,0.969807,0.979281,0.989461,1.000000,
1.000000,0.989820,0.979987,0.970835,0.962677,0.955789,0.950407,0.946714,0.944836,0.944836,0.946714,0.950407,0.955789,0.962677,0.970835,0.979987,0.989820,1.000000,
1.000000,0.990526,0.981374,0.972857,0.965263,0.958853,0.953844,0.950407,0.948659,0.948659,0.950407,0.953844,0.958853,0.965263,0.972857,0.981374,0.990526,1.000000,
1.000000,0.991554,0.983395,0.975802,0.969033,0.963319,0.958853,0.955789,0.954231,0.954231,0.955789,0.958853,0.963319,0.969033,0.975802,0.983395,0.991554,1.000000,
1.000000,0.992870,0.985982,0.979572,0.973857,0.969033,0.965263,0.962677,0.961361,0.961361,0.962677,0.965263,0.969033,0.973857,0.979572,0.985982,0.992870,1.000000,
1.000000,0.994428,0.989046,0.984037,0.979572,0.975802,0.972857,0.970835,0.969807,0.969807,0.970835,0.972857,0.975802,0.979572,0.984037,0.989046,0.994428,1.000000,
1.000000,0.996177,0.992483,0.989046,0.985982,0.983395,0.981374,0.979987,0.979281,0.979281,0.979987,0.981374,0.983395,0.985982,0.989046,0.992483,0.996177,1.000000,
1.000000,0.998055,0.996177,0.994428,0.992870,0.991554,0.990526,0.989820,0.989461,0.989461,0.989820,0.990526,0.991554,0.992870,0.994428,0.996177,0.998055,1.000000,
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,
